Region;Atlas
Country;Morocco
#;2
Spring Name/Station Name;Ras El Ma (Taza)
Literature;"Akdim (2015); Naoura et al. (2021)"
Lat;34.15
Lon;-4.04
Elev (m);960
Recharge Area (km2);
Start Date;1.03.1989
End Date;28.08.2020
Resolution;Monthly
Data Source;Brahim Akdim
Data License;Open data
Contact For License;Brahim Akdim
Spring ID;ATL_02_MA
Date;Discharge m^3/s
15.10.2007;0.04611
5.11.2007;0.05123
26.11.2007;0.07172
17.12.2007;0.07172
8.01.2008;0.07172
29.01.2008;0.07172
19.02.2008;0.1006
12.03.2008;0.12807
2.04.2008;0.12807
23.04.2008;0.15881
14.05.2008;0.1612
5.06.2008;0.15369
26.06.2008;0.09221
17.07.2008;0.0666
7.08.2008;0.06148
29.08.2008;0.04611
19.09.2008;0.12124
10.10.2008;0.13832
31.10.2008;0.19662
22.11.2008;0.22029
13.12.2008;0.33299
3.01.2009;0.32275
24.01.2009;0.30225
15.02.2009;0.27664
8.03.2009;0.2459
29.03.2009;0.22029
19.04.2009;0.18443
11.05.2009;0.15881
1.06.2009;0.14344
22.06.2009;0.12807
13.07.2009;0.08367
4.08.2009;0.05891
25.08.2009;0.01537
15.09.2009;0.01537
6.10.2009;0.03074
28.10.2009;0.05123
18.11.2009;0.07172
9.12.2009;0.07319
30.12.2009;0.10246
21.01.2010;0.23702
11.02.2010;0.3628
4.03.2010;0.45082
26.03.2010;0.42008
16.04.2010;0.41496
7.05.2010;0.41496
28.05.2010;0.38422
19.06.2010;0.32275
10.07.2010;0.26639
31.07.2010;0.21004
21.08.2010;0.16906
12.09.2010;0.1332
3.10.2010;0.09221
24.10.2010;0.07684
14.11.2010;0.09221
6.12.2010;0.11783
27.12.2010;0.1998
17.01.2011;0.3154
7.02.2011;0.40984
1.03.2011;0.46107
22.03.2011;0.47643
12.04.2011;0.46107
3.05.2011;0.40984
25.05.2011;0.37398
15.06.2011;0.33299
6.07.2011;0.28689
27.07.2011;0.25102
18.08.2011;0.21004
8.09.2011;0.16393
29.09.2011;0.12807
20.10.2011;0.08197
11.11.2011;0.07904
2.12.2011;0.10246
23.12.2011;0.1127
13.01.2012;0.23053
4.02.2012;0.3447
25.02.2012;0.3125
17.03.2012;0.29713
8.04.2012;0.17162
29.04.2012;0.21516
20.05.2012;0.22541
10.06.2012;0.19126
2.07.2012;0.15003
23.07.2012;0.10758
13.08.2012;0.14857
3.09.2012;0.14857
25.09.2012;0.14857
16.10.2012;0.14857
6.11.2012;0.12193
27.11.2012;0.16393
19.12.2012;0.25494
9.01.2013;0.26767
30.01.2013;0.25102
20.02.2013;0.31762
14.03.2013;0.40032
4.04.2013;0.43545
25.04.2013;0.38422
16.05.2013;0.32582
7.06.2013;0.23938
28.06.2013;0.19467
19.07.2013;0.14857
9.08.2013;0.10758
31.08.2013;0.09221
21.09.2013;0.08197
12.10.2013;0.08197
2.11.2013;0.0666
24.11.2013;0.06916
15.12.2013;0.08197
5.01.2014;0.10929
26.01.2014;0.16078
17.02.2014;0.21004
10.03.2014;0.27152
31.03.2014;0.30179
21.04.2014;0.25922
13.05.2014;0.17418
3.06.2014;0.15222
24.06.2014;0.11783
16.07.2014;0.10758
6.08.2014;0.09734
27.08.2014;0.08197
17.09.2014;0.07172
9.10.2014;0.05635
30.10.2014;0.06762
20.11.2014;0.12295
11.12.2014;0.16906
2.01.2015;0.18443
23.01.2015;0.23053
13.02.2015;0.21516
6.03.2015;0.19467
28.03.2015;0.1793
18.04.2015;0.15881
9.05.2015;0.14344
30.05.2015;0.1127
21.06.2015;0.09734
12.07.2015;0.09734
2.08.2015;0.08197
23.08.2015;0.07684
14.09.2015;0.05635
5.10.2015;0.05635
26.10.2015;0.05123
16.11.2015;0.05123
8.12.2015;0.05635
29.12.2015;0.0666
19.01.2016;0.06148
9.02.2016;0.05123
2.03.2016;0.06148
23.03.2016;0.0666
13.04.2016;0.09563
4.05.2016;0.11783
26.05.2016;0.1127
16.06.2016;0.07684
7.07.2016;0.05635
29.07.2016;0.05635
19.08.2016;0.05123
9.09.2016;0.05123
30.09.2016;0.05123
22.10.2016;0.04611
12.11.2016;0.05635
3.12.2016;0.06148
24.12.2016;0.06148
15.01.2017;0.0666
5.02.2017;0.08709
26.02.2017;0.09221
19.03.2017;0.09221
10.04.2017;0.08709
1.05.2017;0.08197
22.05.2017;0.0666
12.06.2017;0.06148
4.07.2017;0.05123
25.07.2017;0.05123
15.08.2017;0.05123
5.09.2017;0.05123
27.09.2017;0.05123
18.10.2017;0.04611
8.11.2017;0.04098
29.11.2017;0.03586
21.12.2017;0.03586
11.01.2018;0.05635
1.02.2018;0.0666
22.02.2018;0.10246
16.03.2018;0.1127
6.04.2018;0.10758
27.04.2018;0.10246
18.05.2018;0.09734
9.06.2018;0.08709
30.06.2018;0.07684
21.07.2018;0.07172
12.08.2018;0.0666
2.09.2018;0.05635
23.09.2018;0.04611
14.10.2018;0.04098
5.11.2018;0.04098
26.11.2018;0.03074
17.12.2018;0.03074
7.01.2019;0.03586
29.01.2019;0.04098
19.02.2019;0.04098
12.03.2019;0.04098
2.04.2019;0.04611
24.04.2019;0.04611
15.05.2019;0.05123
5.06.2019;0.05123
26.06.2019;0.05635
18.07.2019;0.05635
8.08.2019;0.06148
29.08.2019;0.06148
19.09.2019;0.0666
11.10.2019;0.0666
1.11.2019;0.07172
22.11.2019;0.07172
13.12.2019;0.07172
4.01.2020;0.07684
25.01.2020;0.08197
15.02.2020;0.08197
7.03.2020;0.08709
29.03.2020;0.08709
19.04.2020;0.08709
10.05.2020;0.09221
31.05.2020;0.08197
22.06.2020;0.08197
13.07.2020;0.07684
3.08.2020;0.08197
25.08.2020;0.08197
