Region;Levant
Country;Israel
#;3
Spring Name/Station Name;Banias
Literature;Ben-Zur et al. (2025)
Lat;33.248
Lon;35.695
Elev (m);390
Recharge Area (km2);120
Start Date;29.03.1968
End Date;30.09.2024
Resolution;Monthly
Data Source;https://data.gov.il/he/datasets/water_authority/spring_discharge/26d650da-9d47-4dd5-8cbe-2f7d6955110b?query=%D7%91%D7%A0%D7%99%D7%90%D7%A1
Data License;CC BY4.0
Contact For License;Avi Burg
Spring ID;LEV_03_IL
date;discharge (l/sec)
1.06.1997;3070
1.07.1997;1977
3.08.1997;1243
1.09.1997;1102
30.09.1997;894
2.11.1997;777
1.01.1998;2369
1.02.1998;3950
1.03.1998;3642
1.04.1998;5140
3.05.1998;3880
1.06.1998;2760
1.07.1998;1852
2.08.1998;1230
1.09.1998;942
27.09.1998;828
2.11.1998;701
1.12.1998;480
31.12.1998;714
1.02.1999;1558
1.03.1999;1986
30.03.1999;2470
2.05.1999;1730
1.06.1999;1207
1.07.1999;883
25.07.1999;715
1.08.1999;655
15.08.1999;605
1.09.1999;541
15.09.1999;531
3.10.1999;486
17.10.1999;415
1.11.1999;396
1.12.1999;350
2.01.2000;301
1.02.2000;1986
1.03.2000;2430
2.04.2000;2970
1.05.2000;2368
1.06.2000;1700
2.07.2000;1063
1.08.2000;744
3.09.2000;678
2.10.2000;553
1.11.2000;620
3.12.2000;694
1.01.2001;1455
1.02.2001;1350
27.02.2001;2871
1.04.2001;2037
1.05.2001;1320
3.06.2001;874
1.07.2001;721
1.08.2001;581
2.09.2001;507
1.10.2001;393
1.11.2001;383
2.12.2001;674
1.01.2002;1196
3.02.2002;2340
28.02.2002;3665
4.04.2002;4296
1.05.2002;3774
2.06.2002;2562
1.07.2002;1694
1.08.2002;1202
1.09.2002;915
1.10.2002;698
3.11.2002;670
13.11.2002;691
18.11.2002;513
1.12.2002;480
20.12.2002;2700
1.01.2003;2731
2.02.2003;3597
2.03.2003;5432
1.04.2003;5986
8.05.2003;5554
1.06.2003;4393
1.07.2003;3320
3.08.2003;2387
1.09.2003;1761
1.10.2003;1340
2.11.2003;1061
1.12.2003;898
1.01.2004;1350
1.02.2004;3990
1.03.2004;4955
1.04.2004;4696
2.05.2004;3798
1.06.2004;2502
1.07.2004;2145
