Region;Zagros
Country;Iraq
#;8
Spring Name/Station Name;Sarchawi Saraw
Literature;Stevanovic (2016)
Lat;35.38
Lon;45.83
Elev (m);515
Recharge Area (km2);
Start Date;1.10.2004
End Date;30.06.2006
Resolution;Daily
Data Source;WOKAS
Data License;CC BY 4.0
Contact For License;Tunde Olarinoye
Spring ID;ZAG_08_IQ
Date;Discharge m^3/s
1.05.2006;1.83279
2.05.2006;2.03684
3.05.2006;2.10191
4.05.2006;2.08365
5.05.2006;2.11979
6.05.2006;2.15994
7.05.2006;2.19402
8.05.2006;2.2431
9.05.2006;2.27752
10.05.2006;2.47029
11.05.2006;2.24757
12.05.2006;2.15762
13.05.2006;2.04019
14.05.2006;1.99873
15.05.2006;1.97129
16.05.2006;1.89184
17.05.2006;1.85113
18.05.2006;1.84799
19.05.2006;1.82711
20.05.2006;1.80646
21.05.2006;1.79565
22.05.2006;1.78208
23.05.2006;1.75766
24.05.2006;1.72662
25.05.2006;1.70554
26.05.2006;1.69094
27.05.2006;1.67394
28.05.2006;1.65494
29.05.2006;1.6397
30.05.2006;1.62514
31.05.2006;1.57471
1.06.2006;1.50286
2.06.2006;1.46451
3.06.2006;1.44621
4.06.2006;1.429
5.06.2006;1.41462
6.06.2006;1.40332
7.06.2006;1.38809
8.06.2006;1.35303
9.06.2006;1.31599
10.06.2006;1.30216
11.06.2006;1.2924
12.06.2006;1.27882
13.06.2006;1.26944
14.06.2006;1.26183
15.06.2006;1.25313
16.06.2006;1.24413
17.06.2006;1.2363
18.06.2006;1.22834
19.06.2006;1.21409
20.06.2006;1.19585
21.06.2006;1.17892
22.06.2006;1.16111
23.06.2006;1.14453
24.06.2006;1.13451
25.06.2006;1.1284
26.06.2006;1.11965
27.06.2006;1.10126
28.06.2006;1.07746
29.06.2006;1.04885
30.06.2006;1.0044
